file,private_vb,that_del,contract,vb_present,pro_2,do_pro,pro_dem,emphatic,pro_1,pro_it,vb_be,sub_conj_caus,disc_particle,pro_nom,hedge,amplifr,wh_ques,mod_poss,coord_conj_cls,wh_cls,prep_final,nn_all,prep,jj_attr,vb_past,pro_3,vb_perfect,vb_public,wh_rel_obj,wh_rel_subj,wh_rel_pipe,coord_conj_phrs,nn_nom,adv_time,adv_place,adv,infinitive,mod_pred,vb_suasive,sub_conj_cond,mod_necess,split_aux,conj_advl,passive_short,passive_by,passive_postnom,sub_conj_othr,th_vb,adv_down,jj_pred,mod_all,conj_all,passive_all,wh_all,wh_rel_all,jj_all,pro_all,vb_have,vb_all,vb_progress,that_rel,wh_comm_vb,wh_att_vb,wh_fact_vb,wh_likely_vb,comm_vb_other,att_vb_other,fact_vb_other,likely_vb_other,jj_att_pred,jj_epist_pred,jj_att_other,jj_epist_other,nn_stance_pp,det_nn_stance,nn_stance_other,all_indef_art,all_def_art,nn_stance_new,nn_common,nn_proper,nn_premod,,,,,,,,,,,,,,,,,,,,,th_vb_comm,th_vb_att,th_vb_fact,th_vb_likely,th_jj_att,th_jj_fact,th_jj_likely,th_nn_nonfact,th_nn_att,th_nn_fact,th_nn_likely,to_vb_speech,to_vb_mental,to_vb_desire,to_vb_effort,to_vb_prob,to_jj_certain,to_jj_able,to_jj_affect,to_jj_ease,to_jj_eval,to_nn_stance_all,advl_nonfact,advl_att,advl_fact,advl_likely,,th_vb_stance_all,th_jj_stance_all,th_nn_stance_all,th_stange_all,to_vb_stance_all,to_jj_stance_all,to_stance_all,advl_stance_all,,,,,,,,,,,,,,ipv_act,tpv_act,tpv_mental,tpv_mental,ipv_occur,pv_copular,pv_aspect,nn_human,nn_process,nn_cog,nn_abstact,nn_concrete,nn_technical,nn_quant,nn_place,nn_group,jj_size,jj_time,jj_color,jj_eval,jj_relation,jj_topic,vb_act,vb_comm,vb_mental,vb_cause,vb_occur,vb_exist,vb_aspect,,dim_1,dim_2,dim_3,dim_4,dim_5,file,tt_ratio,word_length,word_count,individual
guide_1_conversation_a(2).txt,0,0,9.1,109.1,54.5,0,0,9.1,36.4,0,0,0,9.1,9.1,0,9.1,0,9.1,9.1,0,0,309.1,72.7,18.2,18.2,0,0,0,0,0,0,9.1,27.3,18.2,18.2,90.9,9.1,0,0,9.1,0,0,9.1,0,0,0,9.1,0,0,0,9.1,36.4,0,0,0,54.5,90.9,27.3,136.4,18.2,0,0,0,0,0,9.1,0,0,0,0,9.1,27.3,0,0,0,9.1,27.3,18.2,27.3,154.5,100,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,9.1,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,9.1,9.1,27.3,0,9.1,9.1,0,9.1,0,0,0,0,0,18.2,9.1,0,9.1,0,27.3,0,0,5.73,-5.13,-9.47,-2.47,2.06,                              guide_1_conversation_a (2).txt,21.3,4.3,110,Guide1
guide_1_conversation_a.txt,0,0,19.4,126.2,29.1,0,0,9.7,29.1,9.7,0,0,19.4,0,0,9.7,9.7,9.7,19.4,0,29.1,291.3,77.7,48.5,0,38.8,9.7,0,0,0,0,0,29.1,0,9.7,87.4,9.7,0,0,0,0,9.7,0,9.7,0,0,0,0,0,9.7,9.7,19.4,9.7,9.7,0,77.7,97.1,9.7,116.5,9.7,0,0,0,0,0,0,0,0,0,0,0,29.1,0,0,0,0,38.8,0,0,194.2,68,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,9.7,0,0,0,0,0,0,0,0,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,9.7,0,0,0,19.4,0,0,0,0,9.7,0,9.7,9.7,9.7,9.7,9.7,0,19.4,0,0,34.01,-2.13,-4.82,-2.72,-2.16,                                  guide_1_conversation_a.txt,19.3,4.4,103,Guide1
guide_1_conversation_e.txt,0,0,0,85.1,42.6,0,0,0,0,42.6,0,0,0,0,0,0,0,0,21.3,0,0,212.8,127.7,127.7,0,21.3,0,0,0,0,0,0,42.6,21.3,0,85.1,0,0,0,42.6,0,0,0,0,0,0,0,0,0,0,0,63.8,0,0,0,127.7,63.8,21.3,106.4,0,0,0,0,0,0,0,0,0,0,21.3,0,42.6,0,0,0,0,42.6,0,0,127.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,0,42.6,21.3,0,21.3,0,0,0,0,0,21.3,0,21.3,0,0,0,0,0,21.3,21.3,0,-11.37,-4.78,-6.99,12.74,-3.63,                                  guide_1_conversation_e.txt,10,4.3,47,Guide2
guide_1_conversation_j.txt,0,0,15.2,106.1,15.2,0,0,0,0,15.2,30.3,0,0,0,0,0,0,0,0,0,0,363.6,30.3,75.8,30.3,0,0,0,0,0,0,0,0,0,0,0,0,30.3,0,15.2,0,0,0,0,0,0,0,0,0,15.2,30.3,15.2,0,0,0,121.2,15.2,0,121.2,0,0,0,0,0,0,0,0,0,0,0,15.2,15.2,30.3,0,0,0,30.3,60.6,0,227.3,121.2,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.36,-4.73,0.97,7.5,-3.63,                                  guide_1_conversation_j.txt,13.3,4.2,66,Guide3
guide_10_conversation_a.txt,0,0,0,131.6,26.3,0,0,26.3,0,0,0,0,0,0,0,0,0,0,26.3,0,0,447.4,26.3,52.6,0,0,0,0,0,0,0,0,105.3,0,0,105.3,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,0,26.3,0,0,0,78.9,26.3,26.3,131.6,0,0,0,0,0,0,0,0,0,0,0,0,26.3,0,0,0,0,26.3,26.3,0,131.6,157.9,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.67,-5.73,2.3,-6.61,-3.63,                                 guide_10_conversation_a.txt,8.3,4.8,38,Guide1
guide_10_conversation_e(2).txt,0,0,12.2,122,24.4,0,0,0,24.4,12.2,0,0,0,0,0,0,0,0,12.2,0,12.2,426.8,146.3,48.8,0,0,0,24.4,0,0,0,0,36.6,0,0,36.6,0,24.4,0,24.4,0,0,12.2,12.2,0,0,0,12.2,0,12.2,24.4,36.6,12.2,0,0,61,48.8,0,122,0,0,0,0,0,0,12.2,0,12.2,0,12.2,0,12.2,0,0,0,0,12.2,36.6,0,231.7,134.1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,12.2,0,0,12.2,0,0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,24.4,0,0,12.2,0,0,12.2,0,12.2,0,0,0,24.4,24.4,12.2,0,0,0,0,0,-14.08,-1.21,1.44,10.29,5.84,                             guide_10_conversation_e (2).txt,17,4.3,82,Guide2
guide_10_conversation_e.txt,0,0,0,161.3,48.4,0,0,0,0,0,0,0,0,0,0,0,0,16.1,16.1,0,0,306.5,129,0,0,48.4,0,0,0,0,0,0,16.1,16.1,32.3,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,16.1,0,0,0,64.5,96.8,48.4,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3,64.5,0,177.4,96.8,48.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,32.3,0,0,0,0,0,0,0,32.3,0,0,0,0,0,0,0,-7.44,-3.58,-13.84,-6.61,-3.63,                                 guide_10_conversation_e.txt,11.3,4.5,62,Guide2
guide_10_conversation_j.txt,60.6,15.2,0,166.7,60.6,0,0,15.2,15.2,0,15.2,0,0,0,0,0,15.2,45.5,0,0,0,272.7,45.5,30.3,0,0,0,0,0,0,0,0,15.2,0,15.2,30.3,15.2,0,0,0,0,0,0,0,0,0,0,0,0,30.3,45.5,0,0,15.2,0,75.8,75.8,0,166.7,15.2,15.2,0,0,0,0,0,0,30.3,0,15.2,0,15.2,0,0,0,0,15.2,45.5,0,166.7,90.9,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,15.2,15.2,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,0,0,0,0,0,0,0,0,0,0,60.6,0,0,30.3,0,0,42.67,-5.73,-4.15,-6.61,-3.63,                                 guide_10_conversation_j.txt,13.8,4.1,66,Guide3
guide_11_conversation_a.txt,0,0,8.7,173.9,87,0,8.7,17.4,34.8,17.4,0,8.7,17.4,0,0,17.4,8.7,26.1,17.4,0,8.7,165.2,69.6,52.2,8.7,8.7,0,0,8.7,0,0,0,52.2,8.7,8.7,43.5,8.7,17.4,17.4,0,0,17.4,0,8.7,0,0,8.7,0,8.7,26.1,43.5,34.8,8.7,8.7,8.7,87,130.4,8.7,182.6,8.7,8.7,0,0,0,0,26.1,0,0,0,0,0,26.1,0,0,0,0,17.4,43.5,0,87,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,8.7,0,8.7,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,8.7,0,8.7,34.8,0,0,0,0,0,17.4,8.7,43.5,17.4,8.7,17.4,0,8.7,0,0,50.03,-5.06,2.2,10.1,-2.31,                                 guide_11_conversation_a.txt,20.5,4.3,115,Guide1
guide_11_conversation_e.txt,0,0,0,120.5,12,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,289.2,96.4,48.2,12,36.1,12,0,0,0,0,0,24.1,0,12,24.1,12,0,0,12,0,0,0,12,0,0,0,0,0,12,12,12,12,0,0,72.3,48.2,0,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,60.2,0,180.7,72.3,48.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,24.1,0,0,24.1,12,0,0,0,0,0,0,0,12,0,0,12,0,12,0,0,-13.8,-1.41,-2.27,-1.13,-1.8,                                 guide_11_conversation_e.txt,15.8,4.5,83,Guide2
