Hello ^rb+dspt+++=Hello!
! ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
Ruby ^np++++=Ruby
speaking ^vwbg+++xvbg+=speaking
from ^in++++=from
G ^zz++++=G.
. ^zz++++=EXTRAWORD
O ^zz++++=O.
. ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
International ^jj++++=International
Travel ^vb++++=Travel
Agency ^nn++++=Agency.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
for ^in++++=for
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
want ^vb++++=want
a ^at++++=a
single ^jj+atrb+++=single
ticket ^nn++++=ticket
or ^cc++++=or
a ^at++++=a
round ^rp++++=round
trip ^vb++++=trip
ticket ^nn++++=ticket?
? ^zz++++=EXTRAWORD
Economy ^nn++++=Economy
or ^cc++++=or
Business ^nns+nom+++=Business
Class ^nn++++=Class?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
be ^vb+be+vrb++=be
$ ^zz++++=$850.
850 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No
problem ^nn++++=problem.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
pay ^vbi++++=pay
for ^in++++=for
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Thank ^vb++++=Thank
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
you ^pp2+pp2+++=you
like ^in++++=like
an ^at++++=an
aisle ^nn++++=aisle
seat ^nn++++=seat
or ^cc++++=or
a ^at++++=a
window ^nn++++=window
seat ^nn++++=seat?
? ^zz++++=EXTRAWORD
No ^at++++=No
problem ^nn++++=problem.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
ticket ^nn++++=ticket
is ^vbz+bez+vrb++=is
for ^in++++=for
Trans ^np+++??+=Trans
Pacific ^jj+atrb+++=Pacific
Flight ^nn++++=Flight
