PID,PI_S1_R3_20_5_A,PI_S1_R3_I31_7_A,PI_S1_R3_14_1_A,PI_S1_R2_6_1_E,PI_S1_R2_7_2_E,PI_S1_R2_9_2_E,PI_S1_R3_I23_3_J,PI_S1_R3_I23_3_E,PI_S1_R2_10_1_E,PI_S1_R3_I24_3_E,PI_S1_R3_I26_2_A,PI_S1_R2_13_1_J,PI_S1_R3_3_3_A,PI_S1_R3_I41_2_E,PI_S1_R3_4_2_E,PI_S1_R2_14_1_J,PI_S1_R3_15_2_E,PI_S1_R3_3_2_A,manipulation_check_1,PII_S2_R3_I40_3_E,PII_S2_R3_4_1_A,PII_S2_R3_5_4_E,PII_S2_R3_20_3_E,PII_S2_R3_I33_1_A,PII_S2_R3_17_2_A,PII_S2_R3_22_3_E,PII_S2_R2_8_2_E,PII_S2_R2_21_3_J,PII_S2_R3_13_2_E,PII_S2_R3_I30_2_A,PII_S2_R3_10_3_J,PII_S2_R3_5_7_E,PII_S2_R3_13_2_J,PII_S2_R3_6_2_A,PII_S2_R3_I40_1_A,PII_S2_R3_2_1_A,PII_S2_R3_I23_2_J,manipulation_check_2,PIII_S3_R2_20_1_J,PIII_S3_R3_12_2_E,PIII_S3_R3_I35_2_E,PIII_S3_R3_I32_3_A,PIII_S3_R3_24_3_A,PIII_S3_R2_6_2_E,PIII_S3_R3_I26_1_A,PIII_S3_R3_11_5_A,PIII_S3_R3_I38_4_E,PIII_S3_R3_5_6_E,PIII_S3_R3_19_3_E,PIII_S3_R3_10_3_E,PIII_S3_R3_16_1_A,PIII_S3_R3_6_1_J,PIII_S3_R3_I36_6_A,PIII_S3_R3_5_1_J,PIII_S3_R3_6_2_E,PIII_S3_R3_12_1_J,manipulation_check_3,PII_S3_R2_20_1_J,PII_S3_R3_12_2_E,PII_S3_R3_I35_2_E,PII_S3_R3_I32_3_A,PII_S3_R3_24_3_A,PII_S3_R2_6_2_E,PII_S3_R3_I26_1_A,PII_S3_R3_11_5_A,PII_S3_R3_I38_4_E,PII_S3_R3_5_6_E,PII_S3_R3_19_3_E,PII_S3_R3_10_3_E,PII_S3_R3_16_1_A,PII_S3_R3_6_1_J,PII_S3_R3_I36_6_A,PII_S3_R3_5_1_J,PII_S3_R3_6_2_E,PII_S3_R3_12_1_J,manipulation_check_3,PIII_S2_R3_I40_3_E,PIII_S2_R3_4_1_A,PIII_S2_R3_5_4_E,PIII_S2_R3_20_3_E,PIII_S2_R3_I33_1_A,PIII_S2_R3_17_2_A,PIII_S2_R3_22_3_E,PIII_S2_R2_8_2_E,PIII_S2_R2_21_3_J,PIII_S2_R3_13_2_E,PIII_S2_R3_I30_2_A,PIII_S2_R3_10_3_J,PIII_S2_R3_5_7_E,PIII_S2_R3_13_2_J,PIII_S2_R3_6_2_A,PIII_S2_R3_I40_1_A,PIII_S2_R3_2_1_A,PIII_S2_R3_I23_2_J,manipulation_check_2,PI_S2_R3_I40_3_E,PI_S2_R3_4_1_A,PI_S2_R3_5_4_E,PI_S2_R3_20_3_E,PI_S2_R3_I33_1_A,PI_S2_R3_17_2_A,PI_S2_R3_22_3_E,PI_S2_R2_8_2_E,PI_S2_R2_21_3_J,PI_S2_R3_13_2_E,PI_S2_R3_I30_2_A,PI_S2_R3_10_3_J,PI_S2_R3_5_7_E,PI_S2_R3_13_2_J,PI_S2_R3_6_2_A,PI_S2_R3_I40_1_A,PI_S2_R3_2_1_A,PI_S2_R3_I23_2_J,manipulation_check_2,PII_S1_R3_20_5_A,PII_S1_R3_I31_7_A,PII_S1_R3_14_1_A,PII_S1_R2_6_1_E,PII_S1_R2_7_2_E,PII_S1_R2_9_2_E,PII_S1_R3_I23_3_J,PII_S1_R3_I23_3_E,PII_S1_R2_10_1_E,PII_S1_R3_I24_3_E,PII_S1_R3_I26_2_A,PII_S1_R2_13_1_J,PII_S1_R3_3_3_A,PII_S1_R3_I41_2_E,PII_S1_R3_4_2_E,PII_S1_R2_14_1_J,PII_S1_R3_15_2_E,PII_S1_R3_3_2_A,manipulation_check_1,PIII_S1_R3_20_5_A,PIII_S1_R3_I31_7_A,PIII_S1_R3_14_1_A,PIII_S1_R2_6_1_E,PIII_S1_R2_7_2_E,PIII_S1_R2_9_2_E,PIII_S1_R3_I23_3_J,PIII_S1_R3_I23_3_E,PIII_S1_R2_10_1_E,PIII_S1_R3_I24_3_E,PIII_S1_R3_I26_2_A,PIII_S1_R2_13_1_J,PIII_S1_R3_3_3_A,PIII_S1_R3_I41_2_E,PIII_S1_R3_4_2_E,PIII_S1_R2_14_1_J,PIII_S1_R3_15_2_E,PIII_S1_R3_3_2_A,manipulation_check_1,PI_S3_R2_20_1_J,PI_S3_R3_12_2_E,PI_S3_R3_I35_2_E,PI_S3_R3_I32_3_A,PI_S3_R3_24_3_A,PI_S3_R2_6_2_E,PI_S3_R3_I26_1_A,PI_S3_R3_11_5_A,PI_S3_R3_I38_4_E,PI_S3_R3_5_6_E,PI_S3_R3_19_3_E,PI_S3_R3_10_3_E,PI_S3_R3_16_1_A,PI_S3_R3_6_1_J,PI_S3_R3_I36_6_A,PI_S3_R3_5_1_J,PI_S3_R3_6_2_E,PI_S3_R3_12_1_J,manipulation_check_3,education,field,field_6_TEXT,gender,gender_5_TEXT,birth_year,location,info_search,info_search_service,chatbots,social_orientation_1,social_orientation_2
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,,,,ORIGINAL,ORIGINAL,,,NONE,ORIGINAL,TRANSLATED,TRANSLATED,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,I don't know,Bachelor's degree in college (4-year),STEM,,Female,,1997,"Manchester, NH",Yes,I have never used assistance services when traveling,Three,Strongly Agree,Strongly Agree
2,TRANSLATED,,,TRANSLATED,TRANSLATED,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,,,I don't know,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,I don't know,TRANSLATED,,,,,,ORIGINAL,,ORIGINAL,,TRANSLATED,TRANSLATED,,,TRANSLATED,TRANSLATED,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Male,,1985,"Arlington, Virginia ",Yes,I have never used assistance services when traveling,Four,Somewhat agree,Somewhat agree
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,,ORIGINAL,,TRANSLATED,,,ORIGINAL,TRANSLATED,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,TRANSLATED,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,,,,ORIGINAL,ORIGINAL,,I don't know,,,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,,TRANSLATED,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Arts and Humanities,,Female,,1994,"Pocatello, Idaho ",Yes,I have never used assistance services when traveling,Four,Agree,Somewhat agree
4,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,TRANSLATED,,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,TRANSLATED,ORIGINAL,TRANSLATED,,,,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,,,TRANSLATED,"[Tourist Assistant Chatbot:] Flagstaff is located in Arizona, USA. We receive around 5 million visitors per year. Dear participant, it's important to pay attention to the study. This is an attention check question, please select the 'I don't know' option and ignore the rest of the paragraph. When you visit Flagstaff, stop by at our visitor center for more touristic information.",TRANSLATED,,,,,,,ORIGINAL,ORIGINAL,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Health and Biological Sciences,,Male,,2000,"Modesto, CA",Yes,Five or above,Five or above,Strongly Agree,Strongly Agree
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,,TRANSLATED,,TRANSLATED,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,TRANSLATED,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,,ORIGINAL,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,,TRANSLATED,,ORIGINAL,,TRANSLATED,,,,I don't know,,,,,,,,,,,,,,,,,,,,Some college but no degree,Other:,I.T or Computer Programming,Male,,1994,"Decatur, Alabama",Yes,I have never used assistance services when traveling,Five or above,Somewhat agree,Neither agree nor disagree
6,,NONE,TRANSLATED,,,ORIGINAL,TRANSLATED,TRANSLATED,,,ORIGINAL,,,,TRANSLATED,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,ORIGINAL,TRANSLATED,ORIGINAL,,,,,TRANSLATED,TRANSLATED,I don't know,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,,,,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Female,,1992,Atlanta/GA/USA,Yes,I have never used assistance services when traveling,Three,Strongly Agree,Agree
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,,,TRANSLATED,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,I don't know,TRANSLATED,NONE,ORIGINAL,ORIGINAL,,ORIGINAL,,,,TRANSLATED,ORIGINAL,,,,,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Other:,Business,Male,,1994,"NJ, USA",Yes,Two,Five or above,Somewhat agree,Somewhat disagree
8,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,TRANSLATED,,,I don't know,,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,I don't know,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Arts and Humanities,,Female,,1999,Plano/Texas,Yes,I have never used assistance services when traveling,Two,Somewhat agree,Somewhat agree
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,,,,TRANSLATED,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Health and Biological Sciences,,Female,,1991,"Lexington, KY, USA",Yes,,Three,Neither agree nor disagree,Somewhat disagree
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,TRANSLATED,,,,ORIGINAL,TRANSLATED,,I don't know,Some college but no degree,STEM,,Female,,2001,"Muscatine, IA",Yes,I have never used assistance services when traveling,,Somewhat agree,Agree
