Filename, Line, Original, Translated, Modification score
R2\guide_6_conversation_E.txt,1,There is a self-guided Rte 66 tour that starts in the Historic Train Center on 1 E. Rte. 66. In the visitor's center there is a self-guided map that shows the original alignment through the redeveloped Southside Historic District and passes by classic drive-in motels and Flagstaff landmarks of old. Let me know if you have further questions.,we have a self-guided rte 66 tour that starts in the train center on 1 e. rte. 66. the visitor center has a self-guided map that shows you how the redeveloped southside historic district aligns through the original and passes by classic motels and landmarks of old. is there anything else i can do for you today?,136
R2\guide_7_conversation_E.txt,2,There is two hour free parking on Rte 66 on the side streets east of San Francisco on the Southside and there is free parking in the neighborhoods west of City Hall. Paid parking downtown is $1 per hour pay with a credit card at the kiosks located throughout downtown by entering your license plate #. The parking system tracks your license plate and knows that you paid (no receipt given).,okay you park free for two hours on rte 66 on the streets east of san francisco on the southside and the neighborhoods west of city hall have free parking you park and walk to downtown. paid parking downtown is $1/hour you pay using your credit card at the kiosks located throughout downtown when you enter your license plate #. the parking system tracks your license plate and immediately knows that you paid (no receipt given).,131
R3\guide_6_conversation_E.txt,2,That's fine. Parking is $1 an hour most places you can park. There are kiosks on the street where you can pay by credit card by entering your license plate #. there is no receipt and add more time if needed at any kiosk downtown.,that's fine. most places you can park are $1 an hour. you'll find kiosks on the street where you pay using your credit card when you enter your license plate #. you don't need a receipt and you can use any kiosk downtown to add more time as needed.,124
R3\guide_2_conversation_A.txt,1,Hello. Antelope Canyon is a narrow slot canyon so it isn't recommended for anyone with claustrophobia. A good alternative would be to do to Bryce Canyon in Utah which has a similar feel without being so narrow or the Sedona area. They both have beautiful red rock formations.,hello. antelope canyon is a narrow slot canyon so i would not recommend . i think you could do the bryce canyon in utah as it has a similar feel and this one isn't so narrow or visit sedona. both have rock formations i find beautiful.,121
R3\guide_15_conversation_E.txt,2,There is good playground equipment at Thorpe Park and Bushmaster Park. A short easy hike at Buffalo Park also has activity centers. There are kids activities at Heritage Square on Fridays and Saturdays starting at 4:30 (movies on Saturdays after the sun sets),i would suggest the thorpe park and bushmaster park's playgrounds. you'd like to go on a hike at buffalo park where you'll also find activity centers. we have activities that kids would enjoy at heritage square on fridays and saturdays starting at 4:30 (we have movies on saturdays when the sun sets),117
R2\guide_14_conversation_J.txt,1,No there is not a AA office in Flagstaff the closest one is located in Prescott which is about an hour and a half away. If you are looking for maps of Arizona Flagstaff or our surrounding states the Visitor Center can provide these to you for no charge.,no we don't have a aa office in flagstaff and you'll find the closest one in prescott which is roughly an hour and a half away. the visitor center can give you maps of arizona flagstaff or our surrounding states for no charge.,108
R3\guide_24_conversation_A.txt,3,It really depends. A tour will obviously limit your time but you'll learn a lot more about the Grand Canyon and its history plus you have the bonus of not needing to drive yourself so you'll be able to focus more on your surroundings. If you rent a car you'll be able to set your own schedule and if there is a particular location you want to visit you won't be limited by the tour.,it really depends. a tour will obviously limit your time but you'll learn more about the grand canyon and its history and you don't need to drive yourself so you'll focus more on your surroundings. when you rent a car you'll set your own schedule to reach places you want to visit the tour would limit you.,108
R3\guide_4_conversation_E.txt,2,There is not a AAA office in Flagstaff (the closest is Prescott). There are a lot of maps and information within the visitor's center that would be able to help with trip planning.,we don't have an aaa office here (the closest one you'll find is prescott). the visitor center has maps and information that would be able to help you plan your trip.,102
R3\guide_I23_conversation_E.txt,3,I would recommend getting the Ale Trail sheet from the Visitor's Center. It shows the 9 craft breweries most in walking distance of downtown. If you get stamps from all (no purchase necessary) you get a free souvenir glass.,i'd suggest that you get the ale trail sheet we have at the visitor center that shows you the 9 breweries most nearby downtown. when you get stamps from all (you don't need to purchase anything) you get a souvenir glass.,101
R3\guide_I41_conversation_E.txt,2,You cannot leave it in 15 minute parking for an extended period of time. On the Amtrak side of the building there is a paid parking lot. $1 per hour the kiosk is by the green dumpster. Pay by credit card and enter your license plate #,you cannot leave it in 15 minute parking for more than that. however the amtrak side of the building has a paid parking lot you could use. you'll pay $1/hour the kiosk is by the dumpster that is green. you pay using your credit card and you have to enter your license plate #,99
