Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
Flagstaff ^np+++??+=Flagstaff
is ^vbz+bez+aux++=is
know ^vb+vprv+++=know
for ^in++++=for
discovering ^xvbg+++xvbg+=discovering
Pluto ^np++++=Pluto
and ^cc++++=and
training ^nvbg+++xvbg+=training
for ^in++++=for
the ^ati++++=the
Apollo ^np++++=Apollo
Missions ^nns++++=Missions
and ^cc++++=and
being ^vbg+beg++xvbg+=being
the ^ati++++=the
city ^nn++++=city
to ^to++++=to
stay ^vbi++++=stay
in ^in++++=in
when ^wrb+who+++=when
visiting ^vbg+++xvbg+=visiting
grand ^jj+atrb+++=Grand
canyon ^np++++=Canyon.
. ^zz++++=EXTRAWORD
7000 ^cd++++=7000
feet ^nns++++=feet
