The ^ati++++=The
best ^jjt+atrb+++=best
time ^nn++++=time
is ^vbz+bez+vrb++=is
the ^ati++++=the
closest ^jjt++++=closest
you ^pp2+pp2+++=you
can ^md+pos+++=can
to ^in++++=to
midday ^nn++++=midday
to ^to++++=to
get ^vbi++++=get
the ^ati++++=the
shafts ^nns++++=shafts
or ^cc++++=or
light ^nn++++=light
however ^rb+cnj+++=however
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
difficult ^jj+atrb+++=difficult
time ^nn++++=time
of ^in++++=of
year ^nn++++=year
to ^to++++=to
visit ^vbi++++=visit
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
too ^rb++++=too
dangerous ^jj+pred+++=dangerous
to ^to++++=to
give ^vbi++++=give
tours ^nns++++=tours
when ^wrb+who+++=when
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
rain ^nn++++=rain
nearby ^jjb++++=nearby.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
welcome ^nn++++=welcome
