Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
downtown ^rn++++=downtown
is ^vbz+bez+vrb++=is
$ ^zz++++=$1/hour,
1 ^zz++++=EXTRAWORD
but ^cc++++=but
it ^pp3+it+++=it
excludes ^vbz+++??+=excludes
the ^ati++++=the
american ^jj++++=american
valet ^&fw++++=valet-run
- ^zz++++=EXTRAWORD
run ^vb+++xvbn+=EXTRAWORD
parking ^nvbg+++xvbg+=parking
lots ^nns++++=lots,
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
are ^vb+ber+vrb++=are
more ^rbr++++=more
expensive ^jj+pred+++=expensive.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
park ^vb++++=park
at ^rb++++=at
the ^ati++++=the
visitor ^nn++++=visitor
center ^jjr++++=center
for ^in++++=for
30 ^cd++++=30
minutes ^nns++++=minutes
for ^in++++=for
free ^jj++++=free
8 ^zz++++=8-5pm.
- ^zz++++=EXTRAWORD
5pm ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
outside ^in+cmpx+++=outside
of ^in"++++=of
those ^dt+dem+++=those
hours ^nns++++=hours
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
free ^jj+pred+++=free
to ^to+jcmp+++=to
park ^vb++++=park.
. ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
can ^md+pos+++=can
park ^vb++++=park
a ^ap++++=a
few ^ap"++++=few
blocks ^nns++++=blocks
north ^np+pl+++=north
or ^cc++++=or
west ^np+pl+++=west
of ^in++++=of
downtown ^rn++++=downtown
on ^in++++=on
neighborhood ^nn+nom+++=neighborhood
streets ^nns++++=streets
for ^in++++=for
free ^jj++++=free
and ^cc++++=and
walk ^nn++++=walk
to ^in++++=to
downtown ^rn++++=downtown.
. ^zz++++=EXTRAWORD
